,YEAR,전기,가스,수도,지역난방,TOTAL
0,2015,2312028036.739547,325579207.3191913,163004425.6199584,98172852.50904235,2898784522.187739
1,2016,2586234059.2749867,362802112.7179928,157073404.8322799,106744914.7030863,3212854491.5283456
2,2017,2806890498.3391275,399891427.38596195,163219897.4868076,143772955.94440842,3513774779.156306
3,2018,2856625272.896567,474134618.6602857,163104263.35240638,164781374.18453795,3658645529.0937967
4,2019,2875508089.1026206,441870972.74101293,169663024.05471158,200199201.10896516,3687241287.00731
5,2020,3279914061.348558,453619094.91973114,179183518.5137612,120208726.55366229,4032925401.3357124
6,2021,3363935770.912826,444539310.73924536,178502964.50859302,125936246.93980512,4112914293.1004696
7,2022,3310111321.247328,453751439.3538399,176002469.39718813,137454232.27573597,4077319462.2740917
8,2023,3426980444.7480392,366627920.1583557,175127109.9690196,146372810.9071126,4115108285.782527
9,2024,3490467636.0,343999020.0,168926547.3,129340598.604,4132733801.9040003
