,YEAR,MON,MM_TYPE,CNT,EUS,EUS1,EUS2,ECO2_1,ECO2_2,GUS,GUS1,GUS2,GCO2_1,GCO2_2,WUS,WUS1,WUS2,WCO2_1,WCO2_2,HUS,HUS1,HUS2,HCO2_1,HCO2_2,REG_DATE
0,2015,01,개인,767791,193784708,194781915,204969429,-6090964,-2582568.736,59133720,57163993,68297619,-3597086,-8057472.64,12819757.886,12723680.426,12899476.73,8179.308,2715.530256,22740838.937,23400055.303,27090493.875,-2504435.652,-33660084.213069,2015-06-04 17:03:55.0
1,2015,02,개인,774620,189974230,193611430,200055533,-6859251.5,-2908322.636,56487358,59353536,66191173,-6284996.5,-14078392.16,12656888.218,12713146.172,12948410.081,-173889.9085,-57731.449622,18793320.213,19032221.757,21414367.325,-1429974.328,-17311712.76832,2015-06-04 16:59:30.0
2,2015,03,개인,,,,,,,,,,,,,,,,,,,,,,
3,2015,04,개인,,,,,,,,,,,,,,,,,,,,,,
4,2015,05,개인,810422,177289769,181972266,188230004,-7811366,-3312019.184,22060892,21196763,30633727,-3854353,-8633750.72,13086734.214,13214349.918,13186433.49,-113657.49,-37734.28668,1320895.801,1558697.648,1709192.194,-313049.12,-5190153.166471,2015-08-05 04:00:01.0
5,2015,06,개인,813731,186073153,191414452,196523474,-7895810,-3347823.44,12677645,12887123,15272558,-1402195.5,-3140917.92,14241651.402,14231573.864,14196573.165,27577.8875,9155.85865,294312.634,301215.894,295514.063,-4052.3445,-90158.752204,2015-09-05 04:00:01.0
6,2015,07,개인,823337,165114568,171057688,176733530,-8781041,-3723161.384,8893640,8706784,9439834,-179669,-402458.56,12083879.038,12158770.739,12451976.253,-221494.458,-73536.160056,702863.645,227748.982,218148.985,479914.6615,-29858.537272,2015-10-05 04:00:00.0
7,2015,08,개인,831008,242000479,225295114,251665825,3520009.5,1492484.028,7619018,7818701,8690426,-635545.5,-1423621.92,15164553.742,15186771.742,15162726.462,-10195.36,-3384.85952,460288.965,446810.165,439663.894,17051.9355,-57105.653404,2015-11-05 04:00:00.0
8,2015,09,개인,,,,,,,,,,,,,,,,,,,,,,
9,2015,10,개인,838855,186473958,190857499,196312194,-7110888.5,-3015016.724,8924018,9776852,9992178,-960497,-2151513.28,14711828.766,14806253.041,15009957.053,-196276.281,-65163.725292,3167520.127,3791530.042,3875736.209,-666112.9985,-13312269.687023,2016-01-08 12:42:17.0
