,Unnamed: 0,전기,가스,수도,지역난방,YEAR,MON,SEASON
0,0,193784708.0,59133720.0,12819757.886,22740838.937,2015,1,겨울
1,1,189974230.0,56487358.0,12656888.218,18793320.213,2015,2,겨울
2,4,177289769.0,22060892.0,13086734.214,1320895.801,2015,5,봄
3,5,186073153.0,12677645.0,14241651.402,294312.634,2015,6,여름
4,6,165114568.0,8893640.0,12083879.038,702863.645,2015,7,여름
5,7,242000479.0,7619018.0,15164553.742,460288.965,2015,8,여름
6,9,186473958.0,8924018.0,14711828.766,3167520.127,2015,10,가을
7,11,203388142.0,40095231.0,13904162.958,21102616.717,2015,12,겨울
8,12,215330620.0,57641741.0,13218916.436,27186166.133,2016,1,겨울
9,13,216677664.0,68879796.0,13312113.622,21452994.715,2016,2,겨울
10,14,203451798.0,60019600.0,13191615.499,14070182.978,2016,3,봄
11,15,202541336.0,40370608.0,13748935.736,4556396.936,2016,4,봄
12,16,195448592.0,23077064.0,13762618.524,1166907.615,2016,5,봄
13,17,205061790.0,13344932.0,14543461.284,340601.066,2016,6,여름
14,20,241676328.0,7030657.0,15233262.266,2597269.386,2016,9,가을
15,21,197827666.0,10129547.0,15173666.268,2142328.405,2016,10,가을
16,22,204812090.0,23915383.0,7215169.0,10865402.481,2016,11,가을
17,24,222980440.0,61781772.0,14077034.016,20567265.356,2017,1,겨울
18,25,226181991.0,73537514.0,13724166.552,17733782.246,2017,2,겨울
19,26,208386870.0,64297007.0,13598081.92,11477962.549,2017,3,봄
20,28,209894672.0,25103152.0,12950202.184,19809726.81,2017,5,봄
21,31,297850172.0,8429188.0,14291829.084,118927.011,2017,8,여름
22,32,232360099.0,8981707.0,13842675.562,1279967.753,2017,9,가을
23,33,202205893.0,11910453.0,13811362.596,2177857.689,2017,10,가을
24,34,215620132.0,26041170.0,13268391.686,12290667.843,2017,11,가을
25,37,243271752.0,88496947.0,12905042.86,22671708.494,2018,2,겨울
26,38,219203768.0,73426397.0,12769174.532,10924939.951,2018,3,봄
27,41,222820943.0,17132065.0,14051336.092,285820.628,2018,6,여름
28,42,269705511.0,11259835.0,14333667.052,25843523.832,2018,7,여름
29,46,227294230.0,31239511.0,13706690.088,10276290.855,2018,11,가을
30,47,238692561.0,54019855.0,13732488.456,20421845.603,2018,12,겨울
31,48,253600219.0,80308239.0,13442971.1,21963093.848,2019,1,겨울
32,49,244927344.0,81902188.0,13495213.9,106134923.132,2019,2,겨울
33,50,223736787.0,65146586.443,13167550.0,13194262.09,2019,3,봄
34,51,232166121.0,49391508.0,13753270.8,7858587.747,2019,4,봄
35,53,226119779.0,15771701.0,14223536.4,331690.945,2019,6,여름
36,54,257854441.0,10700835.0,14451345.9,968957.161,2019,7,여름
37,57,228095713.0,11876816.0,14804362.3,2590192.143,2019,10,가을
38,58,231283724.0,24835894.0,14123043.9,14983364.884,2019,11,가을
39,59,244976724.0,54509050.0,14184785.2,23558262.283,2019,12,겨울
40,61,254879033.0,76363768.0,14052828.8,20848668.612,2020,2,겨울
41,62,244369714.0,64367515.0,13841531.0,14194450.151,2020,3,봄
42,63,247831442.0,48373693.0,14618775.2,8499792.566,2020,4,봄
43,67,320723239.0,10177428.0,15600097.8,286814.663,2020,8,여름
44,70,247308528.0,30095679.0,14835013.9,12882737.572,2020,11,가을
45,71,265370372.0,51095720.0,15036546.3,26512966.052,2020,12,겨울
46,72,287882528.0,80955422.0,14273105.8,31069705.783,2021,1,겨울
47,73,271224712.0,85581769.0,13679936.9,22238103.26,2021,2,겨울
48,76,241741576.0,24638403.0,14312460.916,2246730.037,2021,5,봄
49,77,254958704.0,18898880.0,15174790.6,396903.273,2021,6,여름
50,78,334733756.0,9631171.0,16619105.064,5529269.058,2021,7,여름
51,79,409719040.0,10205066.0,15737994.8,127607.838,2021,8,여름
52,80,290606638.0,6602872.0,15497783.9,159066.058,2021,9,가을
53,81,253845816.0,13840155.0,15930639.8,4220985.501,2021,10,가을
54,82,255516339.0,28571168.0,14975050.4,13463697.643,2021,11,가을
55,83,265314948.0,54651317.0,14873728.5,25989752.285,2021,12,겨울
56,86,256771728.0,75577723.0,14181287.1,15843818.715,2022,3,봄
57,88,238866649.0,28185559.0,14344240.1,1457446.39,2022,5,봄
58,89,254486733.0,15468022.0,15087457.3,838539.99,2022,6,여름
59,90,336383318.0,10701998.0,14907198.0,50033.827,2022,7,여름
60,91,382965547.0,8718677.0,15555926.8,3278812.728,2022,8,여름
61,92,294121752.0,9220604.8,15016541.4,7221052.414,2022,9,가을
62,94,252081207.0,28471902.0,14485236.6,10685943.786,2022,11,가을
63,95,266989892.0,52230601.0,14538742.5,31655489.658,2022,12,겨울
64,99,247142965.0,38484227.0,13951884.7,4292056.162,2023,4,봄
65,101,259143276.0,14742811.0,14822130.1,1169879.028,2023,6,여름
66,103,407479395.0,8486915.0,15402396.8,530124.99,2023,8,여름
